dt,raw,clean,chourly,cdaily,tdaily,cyearly,c15min
12/10/2022 11:00,0.0,0.0,0.0,2.5,0,156.5,0.0
12/10/2022 12:00,0.0,0.0,0.0,2.5,0,156.5,0.0
12/10/2022 13:00,0.0,0.0,0.0,2.5,0,156.5,0.0
12/10/2022 14:00,0.0,0.0,0.0,2.5,0,156.5,0.0
12/10/2022 15:00,0.0,0.0,0.0,2.5,0,156.5,0.0
12/10/2022 16:00,0.0,0.0,0.0,2.5,0,156.5,0.0
12/10/2022 17:00,0.0,0.0,0.0,2.5,0,156.5,0.0
12/10/2022 18:00,0.0,0.0,0.0,2.5,0,156.5,0.0
12/10/2022 19:00,0.0,0.0,0.0,2.5,0,156.5,0.0
12/10/2022 20:00,0.0,0.0,0.0,2.5,0,156.5,0.0
12/10/2022 21:00,0.0,0.0,0.0,2.5,0,156.5,0.0
12/10/2022 22:00,0.0,0.0,0.0,2.5,0,156.5,0.0
12/10/2022 23:00,0.0,0.0,0.0,2.5,0,156.5,0.0
13/10/2022 00:00,0.0,0.0,0.0,0.0,0,156.5,0.0
13/10/2022 01:00,0.0,0.0,0.0,0.0,0,156.5,0.0
13/10/2022 02:00,0.0,0.0,0.0,0.0,0,156.5,0.0
13/10/2022 03:00,0.0,0.0,0.0,0.0,0,156.5,0.0
13/10/2022 04:00,0.0,0.0,0.0,0.0,0,156.5,0.0
13/10/2022 05:00,0.0,0.0,0.0,0.0,0,156.5,0.0
13/10/2022 06:00,0.0,0.0,0.0,0.0,0,156.5,0.0
13/10/2022 07:00,2.5,2.5,2.5,2.5,0,159.0,2.5
13/10/2022 08:00,0.0,0.0,0.0,2.5,0,159.0,0.0
13/10/2022 09:00,0.0,0.0,0.0,2.5,0,159.0,0.0
13/10/2022 10:00,0.0,0.0,0.0,2.5,0,159.0,0.0
13/10/2022 11:00,0.0,0.0,0.0,2.5,0,159.0,0.0
13/10/2022 12:00,0.0,0.0,0.0,2.5,0,159.0,0.0
13/10/2022 13:00,0.0,0.0,0.0,2.5,0,159.0,0.0
13/10/2022 14:00,0.5,0.5,0.5,3.0,0,159.5,0.5
13/10/2022 15:00,0.0,0.0,0.0,3.0,0,159.5,0.0
13/10/2022 16:00,0.0,0.0,0.0,3.0,0,159.5,0.0
13/10/2022 17:00,0.0,0.0,0.0,3.0,0,159.5,0.0
13/10/2022 18:00,0.0,0.0,0.0,3.0,0,159.5,0.0
13/10/2022 19:00,0.0,0.0,0.0,3.0,0,159.5,0.0
13/10/2022 20:00,0.0,0.0,0.0,3.0,0,159.5,0.0
13/10/2022 21:00,0.0,0.0,0.0,3.0,0,159.5,0.0
13/10/2022 22:00,0.0,0.0,0.0,3.0,0,159.5,0.0
13/10/2022 23:00,0.0,0.0,0.0,3.0,0,159.5,0.0
14/10/2022 00:00,0.0,0.0,0.0,0.0,0,159.5,0.0
14/10/2022 01:00,1.0,1.0,1.0,1.0,0,160.5,1.0
14/10/2022 02:00,0.0,0.0,0.0,1.0,0,160.5,0.0
14/10/2022 03:00,0.0,0.0,0.0,1.0,0,160.5,0.0
14/10/2022 04:00,6.5,6.5,6.5,7.5,0,167.0,6.5
14/10/2022 05:00,6.5,6.5,6.5,14.0,0,173.5,6.5
14/10/2022 06:00,4.0,4.0,4.0,18.0,0,177.5,4.0
14/10/2022 07:00,2.0,2.0,2.0,20.0,0,179.5,2.0
14/10/2022 08:00,1.0,1.0,1.0,21.0,0,180.5,1.0
14/10/2022 09:00,3.0,3.0,3.0,24.0,0,183.5,3.0
14/10/2022 10:00,2.0,2.0,2.0,26.0,0,185.5,2.0
14/10/2022 11:00,1.5,1.5,1.5,27.5,0,187.0,1.5
14/10/2022 12:00,0.0,0.0,0.0,27.5,0,187.0,0.0
14/10/2022 15:00,0.0,0.0,0.0,27.5,0,187.0,0.0
14/10/2022 16:00,0.0,0.0,0.0,27.5,0,187.0,0.0
14/10/2022 17:00,0.0,0.0,0.0,27.5,0,187.0,0.0
14/10/2022 18:00,0.0,0.0,0.0,27.5,0,187.0,0.0
14/10/2022 19:00,0.0,0.0,0.0,27.5,0,187.0,0.0
14/10/2022 20:00,0.0,0.0,0.0,27.5,0,187.0,0.0
14/10/2022 21:00,0.0,0.0,0.0,27.5,0,187.0,0.0
14/10/2022 22:00,0.0,0.0,0.0,27.5,0,187.0,0.0
14/10/2022 23:00,0.0,0.0,0.0,27.5,0,187.0,0.0
15/10/2022 00:00,0.0,0.0,0.0,0.0,0,187.0,0.0
15/10/2022 01:00,2.0,2.0,2.0,2.0,0,189.0,2.0
15/10/2022 02:00,0.0,0.0,0.0,2.0,0,189.0,0.0
15/10/2022 03:00,5.0,5.0,5.0,7.0,0,194.0,5.0
15/10/2022 04:00,0.0,0.0,0.0,7.0,0,194.0,0.0
15/10/2022 05:00,3.0,3.0,3.0,10.0,0,197.0,3.0
15/10/2022 06:00,0.0,0.0,0.0,10.0,0,197.0,0.0
15/10/2022 07:00,0.5,0.5,0.5,10.5,0,197.5,0.5
15/10/2022 08:00,3.0,3.0,3.0,13.5,0,200.5,3.0
15/10/2022 09:00,0.5,0.5,0.5,14.0,0,201.0,0.5
15/10/2022 10:00,0.0,0.0,0.0,14.0,0,201.0,0.0
